season,competition,club,appearances,starts,ppg,minutes
11/12,Europa League Qualifying,HJK Helsinki,2,1,3.00,23
11/12,Champions League Qualifying,HJK Helsinki,1,1,0.00,12
2011,Veikkausliiga,HJK Helsinki,21,18,2.44,492
2011,Suomen Cup,HJK Helsinki,2,1,3.00,40
2010,Veikkausliiga,FC Lahti,21,21,1.14,1468
09/10,Europa League Qualifying,FC Lahti,6,6,1.17,540
2009,Suomen Cup,FC Lahti,1,1,0.00,90
2009,Veikkausliiga,FC Lahti,13,13,1.23,754
2009,Liigacup,FC Lahti,3,3,2.00,203
2008,Veikkausliiga,FC Lahti,6,6,2.17,203
05/06,Champions League Qualifying,Malmö FF,3,3,0.33,143
04/05,Bundesliga,Hansa Rostock,13,13,1.08,1081
04/05,DFB-Pokal,Hansa Rostock,1,1,0.00,90
2004,Veikkausliiga,FC Lahti,11,11,2.00,676
03/04,Eredivisie,Ajax,6,6,2.17,148
03/04,Champions League,Ajax,4,3,0.00,89
02/03,Eredivisie,Ajax,14,14,2.64,750
02/03,Champions League,Ajax,7,7,1.29,425
02/03,KNVB Beker,Ajax,1,1,0.00,55
01/02,Premier League,Liverpool,24,21,2.05,842
01/02,Champions League,Liverpool,13,7,1.57,317
01/02,FA Cup,Liverpool,2,1,0.00,45
01/02,League Cup,Liverpool,1,1,0.00,77
01/02,Champions League Qualifying,Liverpool,2,2,3.00,88
00/01,Premier League,Liverpool,5,5,1.40,336
00/01,UEFA Cup,Liverpool,2,2,3.00,27
00/01,FA Cup,Liverpool,3,2,3.00,48
00/01,League Cup,Liverpool,2,2,1.50,116
00/01,Champions League,Barcelona,1,0,,0
99/00,LaLiga,Barcelona,25,21,1.57,1265
99/00,Champions League,Barcelona,11,8,2.00,284
99/00,Copa del Rey,Barcelona,2,2,1.50,88
99/00,Supercopa,Barcelona,1,1,0.00,90
98/99,Eredivisie,Ajax,23,23,1.96,1865
98/99,KNVB Beker,Ajax,4,4,3.00,279
98/99,Champions League,Ajax,4,4,1.75,310
98/99,Johan Cruijff Schaal,Ajax,1,1,0.00,74
97/98,KNVB Beker,Ajax,3,3,3.00,174
97/98,Eredivisie,Ajax,25,25,2.56,1762
97/98,UEFA Cup,Ajax,6,6,1.33,405
96/97,Eredivisie,Ajax,16,16,1.75,1307
96/97,Champions League,Ajax,7,7,1.43,511
96/97,Johan Cruijff Schaal,Ajax,1,1,0.00,90
95/96,Champions League,Ajax,10,10,2.20,869
95/96,Eredivisie,Ajax,26,26,2.50,1716
95/96,UEFA Super Cup,Ajax,1,1,1.00,63
95/96,KNVB Beker,Ajax,2,2,1.50,162
1995,Intercontinental Cup,Ajax,1,1,3.00,94
94/95,Eredivisie,Ajax,27,27,2.48,2106
94/95,Champions League,Ajax,11,11,2.27,955
94/95,KNVB Beker,Ajax,3,3,2.00,285
93/94,Eredivisie,Ajax,30,30,2.37,2397
93/94,Cup Winners Cup,Ajax,5,5,2.00,450
92/93,Eredivisie,Ajax,12,12,1.75,614
1992,Veikkausliiga,MYPA,18,18,1.78,1488
1991,Veikkausliiga,HJK Helsinki,27,27,1.70,2361
1990,Veikkausliiga,Lahden Reipas,22,22,1.36,1980
